Indian rank,Name,Gender,Title,Standard_Rating,Rapid_rating,Blitz_rating
47,Karthik Venkataraman,M,GM,2483,2192,2362
48,Akshayraj  Kore,M,GM,2482,2484,2399
49,Ashwin  Jayaram,M,GM,2480,2513,2461
50,Krishna C R G,M,IM,2478,2379,2332
51,Arjun Kalyan,M,IM,2477,2334,2299
52,Vishnu Prasanna. V,M,GM,2476,2558,2510
53,Ramesh R B,M,GM,2472,0,2302
54,Raja Harshit,M,IM,2472,2158,2291
55,Prithu Gupta,M,GM,2472,0,1775
56,Mendonca  Leon Luke,M,IM,2470,1391,2152
57,Ravi  Teja S.,M,IM,2469,2356,2409
58,Kunte  Abhijit,M,GM,2458,2427,2420
59,Rahul Srivatshav P,M,IM,2457,2027,2349
60,Das  Arghyadip,M,IM,2453,2365,2382
61,Shyaamnikhil P,M,IM,2453,2389,2300
62,Ankit  R. Rajpara,M,GM,2452,0,2447
63,Raghunandan  Kaumandur Srihari,M,IM,2448,2116,2022
64,Mohammad Nubairshah Shaikh,M,IM,2445,2296,2382
65,Mitrabha  Guha,M,IM,2445,2122,2334
66,Rathanvel  V S,M,IM,2445,2331,2449
67,Rohit  Gogineni,M,IM,2442,0,0
68,Dhulipalla Bala Chandra Prasad,M,IM,2441,2265,2336
69,Aditya Mittal,M,IM,2438,1488,2171
70,Prasanna Raghuram Rao,M,IM,2437,2342,2383
71,Pranesh M,M,IM,2437,2031,1866
72,Bharath Subramaniyam H,M,IM,2437,2165,2230
73,Aronyak Ghosh,M,IM,2436,2049,2093
74,Thejkumar  M. S.,M,GM,2433,2433,2312
75,Das  Sayantan,M,IM,2431,2413,2370
76,Koustav Chatterjee,M,IM,2431,2055,2242
77,Harikrishnan.A.Ra,M,IM,2429,2089,2276
78,Sankalp Gupta,M,IM,2429,2266,2323
79,Vignesh N R,M,IM,2428,2226,2401
80,Neelotpal  Das,M,GM,2425,2338,2427
81,Mehar  Chinna Reddy C.H.,M,IM,2422,2305,2259
82,Gusain  Himal,M,IM,2414,2394,2307
83,Srihari L R,M,FM,2414,1944,2121
84,Bakre  Tejas,M,GM,2413,2385,2366
85,Neelash Saha,M,IM,2413,1883,2043
86,Sammed Jaykumar Shete,M,IM,2412,2079,2253
87,Laxman  R.R.,M,GM,2411,2363,2476
88,Parikh  Valay,M,IM,2411,0,0
89,Saptarshi  Roy,M,GM,2411,2372,2368
90,Krishnater Kushager,M,IM,2410,1980,1871
91,Raja Rithvik R,M,IM,2408,1819,2215
92,Sreeshwan Maralakshikari,M,IM,2408,2070,1882
93,Sagar  Shah,M,IM,2407,2288,2233
94,Akshat  Khamparia,M,IM,2406,2371,2237
95,Sai Krishna G V,M,IM,2405,2340,2359
96,Karthikeyan  P.,M,GM,2404,2351,2366
97,Bitan  Banerjee,M,IM,2404,0,2437
98,Muthaiah AL,M,IM,2400,2295,2184
99,Udeshi  Aditya,M,IM,2398,2421,0
100,Satyapragyan  Swayangsu,M,IM,2397,2360,2333
101,Viani Antonio Dcunha,M,IM,2397,2368,2366
102,Harshavardhan G B,M,IM,2397,1554,1825
103,Prince  Bajaj,M,IM,2396,2312,2211
104,Himanshu  Sharma,M,GM,2394,2352,2307
105,Barua  Dibyendu,M,GM,2393,2404,0
106,Vaishali R,F,WGM,2393,2149,2313
107,Tania  Sachdev,F,IM,2392,2339,2280
108,Kulkarni Bhakti,F,IM,2391,2325,2224
109,Sundararajan  Kidambi,M,GM,2389,2398,2409
110,Poobesh Anand  S.,M,IM,2389,0,0
111,Mullick Raahil,M,IM,2386,2259,2192
112,Roktim  Bandyopadhyay,M,IM,2383,0,0
113,Nitin  S.,M,IM,2381,2404,2431
114,Srinath  Rao S.V.,M,IM,2381,2241,2181
115,Pranav Anand,M,FM,2381,1707,2128
116,Ravisekhar  Raja,M,IM,2380,0,0
117,Akash Pc  Iyer,M,IM,2380,2191,2242
118,Sriram  Jha,M,GM,2379,2389,2253
119,Krishna Teja  N,M,IM,2378,2104,2278
120,Audi Ameya,M,IM,2378,2094,2017
121,Thipsay  Praveen M,M,GM,2376,2288,2200
122,Rajesh  V A V,M,IM,2376,2320,2360
123,Shahil Dey,M,CM,2376,1816,1874
124,Praneeth Surya K,M,FM,2375,2223,0
125,Prathamesh  Sunil Mokal,M,IM,2371,2366,0
126,Vatsal Singhania,M,FM,2371,1784,1934
127,Padmini  Rout,F,IM,2370,2355,2196
128,Vardaan Nagpal,M,IM,2370,1758,1908
129,Roy  Prantik,M,IM,2368,2171,2379
130,Sidhant  Mohapatra,M,IM,2367,2183,2177
131,Nandhidhaa  P V,F,WGM,2365,2131,1989
132,Anwesh  Upadhyaya,M,IM,2364,2365,2323
133,Manu David Suthandram R,M,FM,2360,1896,2173
134,Konguvel  Ponnuswamy,M,IM,2358,2183,2291
135,Soham Das,M,IM,2358,1801,1995
136,Hemant  Sharma,M,IM,2356,2297,2340
137,Khosla  Shiven,M,IM,2356,0,0
138,Murugan  Krishnamoorthy,M,IM,2355,0,0
139,Kulkarni  Vikramaditya,M,IM,2355,2337,2336
140,Rohan  Ahuja,M,IM,2355,2149,2267
141,Rajdeep Sarkar,M,IM,2355,1985,2068
142,Sareen  Vishal,M,IM,2354,0,2282
143,Gomes  Mary Ann,F,WGM,2354,2305,2106
144,Ravichandran  Siddharth,M,IM,2352,2360,2371
145,Fenil  Shah,M,IM,2352,2238,2253
146,Soumya  Swaminathan,F,IM,2351,2249,2115
147,Nitish Belurkar,M,FM,2351,2031,2306
148,Kushagra Mohan,M,CM,2351,1766,1901
149,Anuj Shrivatri,M,IM,2350,2095,2038
150,Siva Mahadevan,M,IM,2349,1984,2203
151,Ravikumar  Vaidyanathan,M,IM,2347,0,0
152,Gauri  Shankar,M,FM,2347,0,2240
153,Anand Nadar,M,IM,2347,2005,2159
154,Karavade  Eesha,F,IM,2345,2344,2258
155,Harshad S,M,FM,2343,1627,2063
156,Manish Anto Cristiano F,M,FM,2340,1919,1932
157,Girinath  P.D.S.,M,IM,2335,2304,2333
158,Parameswaran  Tiruchi N.,M,IM,2334,0,0
159,Rakesh Kumar Jena,M,IM,2334,2182,2231
160,Vijayalakshmi  Subbaraman,F,IM,2332,2262,2252
161,Chakravarthi Reddy  M,M,IM,2332,2241,2190
162,Moksh Amit Doshi,M,IM,2332,2210,2245
163,Kathmale  Sameer,M,IM,2330,2328,2237
164,Pratyusha  Bodda,F,WIM,2328,2094,2142
165,Pavanasam  Ananchaperumal,M,FM,2327,0,0
166,Saravanan  V.,M,IM,2324,0,0
167,Manush Shah,M,FM,2324,2116,2081
168,Sai Agni Jeevitesh  J,M,IM,2322,2277,2137
169,Kulkarni  Rakesh,M,IM,2321,2344,2246
170,Dixit  Nikhil,M,FM,2321,2095,2223
171,Abhishek  Kelkar,M,IM,2320,2297,2230
172,Ayushh Ravikumar,M,FM,2319,1682,1441
173,Karthik Kumar Pradeep,M,FM,2316,1509,1354
174,Aaron  Manuel,M,IM,2315,0,0
175,Ajay Karthikeyan,M,FM,2315,1760,2138
176,Rathnakaran  K.,M,IM,2314,2347,2400
177,Om Kharola,M,FM,2314,1707,1916
178,Saravana  Krishnan P.,M,IM,2312,2264,2245
179,Srijit Paul,M,IM,2312,1932,2092
180,Mohamed Anees M,M,FM,2312,1690,1539
181,Shankar  Roy,M,IM,2311,0,0
182,Kakumanu Kautil,M,FM,2306,1547,1663
183,Matta  Vinay Kumar,M,FM,2305,2170,2329
184,Divya Deshmukh,F,WIM,2305,1775,2239
185,Rohith Krishna S,M,FM,2304,1977,2117
186,Rahul S,M,FM,2303,0,1945
187,Ravi  Lanka,M,IM,2301,0,0
188,Acharya  Chandragupta K.,M,FM,2300,0,0
189,Palit  Somak,M,IM,2300,2325,2374
